Id,Group,class,invCnt,greens,reds,controv,other_ms_ada,own_ms_ada,winning,comparaison_ada,sim_ada,n_tokens,own_ms_use,other_ms_use,sim_use
129,B,Neutral,20,8,17,0.838069618,32,16,0,Own,0.844480884,77,160,75,0.466653854
136,B,Low Priority,8,0,9,0.019531323,135,118,0,Other,0.810454278,43,118,74,0.338311762
136,B,Low Priority,8,0,9,0.019531323,135,118,0,Own,0.804926399,43,118,74,0.360727072
141,B,High Priority,5,7,0,0.062500146,116,22,0,Other,0.834125194,26,22,75,0.555736303
141,B,High Priority,5,7,0,0.062500146,116,22,0,Own,0.823482399,26,22,75,0.487877578
146,B,Low Priority,39,7,49,1.83E-07,154,7,0,Other,0.844744886,62,7,150,0.366668522
146,B,Low Priority,39,7,49,1.83E-07,154,7,0,Own,0.811413683,62,7,150,0.362577438
160,B,Neutral,24,10,19,1.119264029,75,203,0,Other,0.853221347,82,128,150,0.418605059
160,B,Neutral,24,10,19,1.119264029,75,203,0,Own,0.856348278,82,128,150,0.552182496
169,B,Neutral,30,13,22,1.546815061,200,108,0,Other,0.854946402,15,108,58,0.335571706
169,B,Neutral,30,13,22,1.546815061,200,108,0,Own,0.845571563,15,108,58,0.446854055
178,B,Neutral,3,3,0,0.50000025,48,98,0,Other,0.846281153,134,6,48,0.454928696
178,B,Neutral,3,3,0,0.50000025,48,98,0,Own,0.83667922,134,6,48,0.369435251
182,B,Low Priority,13,3,13,0.145263672,164,76,0,Other,0.854640987,45,160,164,0.590462148
182,B,Low Priority,13,3,13,0.145263672,164,76,0,Own,0.807739286,45,160,164,0.430697888
193,B,Neutral,15,5,12,0.84979248,73,23,0,Other,0.912131793,53,203,116,0.525502682
193,B,Neutral,15,5,12,0.84979248,73,23,0,Own,0.859652676,53,203,116,0.523829222
196,B,Controversial,15,11,7,2.30657959,165,7,1,Other,0.829537317,50,7,135,0.46621865
196,B,Controversial,15,11,7,2.30657959,165,7,1,Own,0.837724884,50,7,135,0.545322776
197,B,Controversial,7,4,5,2.4609375,121,126,0,Other,0.840145186,35,126,121,0.460764766
197,B,Controversial,7,4,5,2.4609375,121,126,0,Own,0.86576835,35,126,121,0.553283453
208,B,High Priority,12,12,3,0.222167969,44,76,0,Other,0.906870993,46,126,44,0.627716899
208,B,High Priority,12,12,3,0.222167969,44,76,0,Own,0.853001073,46,126,44,0.428162605
215,B,High Priority,9,10,1,0.064452771,56,28,0,Other,0.843797066,129,21,150,0.444744527
215,B,High Priority,9,10,1,0.064452771,56,28,0,Own,0.857147555,129,21,150,0.439557314
